"ID","Essai","Temps Experience","Temps total Inactivite","Temps total Activite","Temps total de Manipulation","Nbr Total de Manipulation","Temps Total Consultation Instruction","Nb Total de Consultation","Nombre erreur","Proposition_Phase"
"ID66","3","42.277767","20.464560","21.813210","21.813210","21","0.000000","0","0","2"
"ID66","4","34.333328","17.417231","16.916100","16.916100","22","0.000000","0","0","3"
"ID66","5","35.122219","17.628387","17.493832","17.493832","18","0.000000","0","0","3"
"ID67","1","141.011108","66.724197","74.286896","31.597601","23","42.689301","26","8","1"
"ID67","2","55.877750","30.873430","25.004320","20.093260","14","4.911060","9","2","1"
"ID67","3","41.866673","21.607660","20.259010","18.759010","13","1.500000","2","0","2"
"ID67","4","34.766670","14.851800","19.914869","19.637091","12","0.277780","1","0","2"
"ID67","5","30.511110","11.907170","18.603939","18.603939","11","0.000000","0","0","2"
"ID67","6","41.099998","18.253290","22.846710","22.846710","16","0.000000","0","0","3"
"ID67","7","34.755562","14.165030","20.590530","20.590530","15","0.000000","0","0","3"
"ID68","1","527.500000","190.677200","336.822784","54.633900","19","282.188904","116","4","1"
"ID68","2","162.888901","49.534401","113.354492","53.888000","17","59.466499","35","0","1"
"ID68","3","103.533295","39.581799","63.951500","35.729198","17","28.222300","16","0","1"
"ID68","4","89.866714","51.859730","38.006981","38.006981","17","0.000000","0","0","2"
"ID68","5","54.422272","25.291420","29.130850","29.130850","16","0.000000","0","0","3"
